TABELLA OMBRELLONI: n°ombrellone-fila-codicepren-periodo
1 1	01116 18/6/2019 21/6/2019
2 1	02547 21/6/2019 23/6/2019
3 1	00000 0/0/0 0/0/0
4 1	00000 0/0/0 0/0/0
5 1	00000 0/0/0 0/0/0
6 1	00000 0/0/0 0/0/0
7 1	00000 0/0/0 0/0/0
8 1	00000 0/0/0 0/0/0
9 1	00000 0/0/0 0/0/0
10 1	00000 0/0/0 0/0/0
11 2	00000 0/0/0 0/0/0
12 2	00000 0/0/0 0/0/0
13 2	00000 0/0/0 0/0/0
14 2	00000 0/0/0 0/0/0
15 2	00000 0/0/0 0/0/0
16 2	00000 0/0/0 0/0/0
17 2	00000 0/0/0 0/0/0
18 2	00000 0/0/0 0/0/0
19 2	00000 0/0/0 0/0/0
20 2	00000 0/0/0 0/0/0
21 3	00000 0/0/0 0/0/0
22 3	00000 0/0/0 0/0/0
23 3	00000 0/0/0 0/0/0
24 3	00000 0/0/0 0/0/0
25 3	00000 0/0/0 0/0/0
26 3	00000 0/0/0 0/0/0
27 3	00000 0/0/0 0/0/0
28 3	00000 0/0/0 0/0/0
29 3	00000 0/0/0 0/0/0
30 3	00000 0/0/0 0/0/0
31 4	00000 0/0/0 0/0/0
32 4	32558 16/7/2019 21/7/2019
33 4	00000 0/0/0 0/0/0
34 4	00000 0/0/0 0/0/0
35 4	00000 0/0/0 0/0/0
36 4	00000 0/0/0 0/0/0
37 4	00000 0/0/0 0/0/0
38 4	00000 0/0/0 0/0/0
39 4	00000 0/0/0 0/0/0
40 4	00000 0/0/0 0/0/0
41 5	00000 0/0/0 0/0/0
42 5	00000 0/0/0 0/0/0
43 5	00000 0/0/0 0/0/0
44 5	00000 0/0/0 0/0/0
45 5	00000 0/0/0 0/0/0
46 5	00000 0/0/0 0/0/0
47 5	00000 0/0/0 0/0/0
48 5	00000 0/0/0 0/0/0
49 5	00000 0/0/0 0/0/0
50 5	00000 0/0/0 0/0/0
51 6	00000 0/0/0 0/0/0
52 6	00000 0/0/0 0/0/0
53 6	00000 0/0/0 0/0/0
54 6	00000 0/0/0 0/0/0
55 6	00000 0/0/0 0/0/0
56 6	00000 0/0/0 0/0/0
57 6	00000 0/0/0 0/0/0
58 6	00000 0/0/0 0/0/0
59 6	00000 0/0/0 0/0/0
60 6	00000 0/0/0 0/0/0
61 7	00000 0/0/0 0/0/0
62 7	00000 0/0/0 0/0/0
63 7	00000 0/0/0 0/0/0
64 7	00000 0/0/0 0/0/0
65 7	00000 0/0/0 0/0/0
66 7	00000 0/0/0 0/0/0
67 7	67907 16/7/2019 20/7/2019
68 7	00000 0/0/0 0/0/0
69 7	00000 0/0/0 0/0/0
70 7	00000 0/0/0 0/0/0
71 8	00000 0/0/0 0/0/0
72 8	00000 0/0/0 0/0/0
73 8	00000 0/0/0 0/0/0
74 8	00000 0/0/0 0/0/0
75 8	00000 0/0/0 0/0/0
76 8	00000 0/0/0 0/0/0
77 8	00000 0/0/0 0/0/0
78 8	00000 0/0/0 0/0/0
79 8	00000 0/0/0 0/0/0
80 8	00000 0/0/0 0/0/0
81 9	00000 0/0/0 0/0/0
82 9	00000 0/0/0 0/0/0
83 9	00000 0/0/0 0/0/0
84 9	00000 0/0/0 0/0/0
85 9	00000 0/0/0 0/0/0
86 9	00000 0/0/0 0/0/0
87 9	00000 0/0/0 0/0/0
88 9	00000 0/0/0 0/0/0
89 9	89236 16/7/2019 20/7/2019
90 9	90520 28/6/2019 5/7/2019	90152 11/7/2019 18/7/2019
